|Project|commit|codeLink|CWE ID|CVE ID|future_commit_id|fix_time|start|end
58|ImageMagick|a5eeacb1bd5536f4f53f36e4ad6fa50b4b1261ca|https://github.com/ImageMagick/ImageMagick/commit/a5eeacb1bd5536f4f53f36e4ad6fa50b4b1261ca|CWE-401|CVE-2019-13137|7cabb3014e971c603cce0302dbb35ac11738f94c|1828|2014-10-25 06:32:14+00:00|2019-10-27 12:55:09-04:00
11|ImageMagick|78f82d9d1c2944725a279acd573a22168dc6e22a|https://github.com/ImageMagick/ImageMagick/commit/78f82d9d1c2944725a279acd573a22168dc6e22a|CWE-119|CVE-2015-8957|ffb9daf05acebfc8cec9fd205d1b75001bbe2f66|383|2015-01-06 12:13:31+00:00|2016-01-24 19:23:27-05:00
19|ImageMagick|b8f17d08b7418204bf8a05a5c24e87b2fc395b75|https://github.com/ImageMagick/ImageMagick/commit/b8f17d08b7418204bf8a05a5c24e87b2fc395b75|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e|506|2015-01-10 14:10:16+00:00|2016-05-31 07:24:13+02:00
1|ImageMagick|1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f|https://github.com/ImageMagick/ImageMagick/commit/1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f|CWE-125|CVE-2015-8958|2174484dfa68a594e2f9ad17f46217b6120db18d|365|2015-01-13 02:23:43+00:00|2016-01-13 18:31:21-05:00
7|ImageMagick|6b4aff0f117b978502ee5bcd6e753c17aec5a961|https://github.com/ImageMagick/ImageMagick/commit/6b4aff0f117b978502ee5bcd6e753c17aec5a961|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e|503|2015-01-13 12:16:28+00:00|2016-05-31 07:24:13+02:00
15|ImageMagick|8ea44b48a182dd46d018f4b4f09a5e2ee9638105|https://github.com/ImageMagick/ImageMagick/commit/8ea44b48a182dd46d018f4b4f09a5e2ee9638105|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e|503|2015-01-13 13:31:27+00:00|2016-05-31 07:24:13+02:00
4|ImageMagick|2ad6d33493750a28a5a655d319a8e0b16c392de1|https://github.com/ImageMagick/ImageMagick/commit/2ad6d33493750a28a5a655d319a8e0b16c392de1|CWE-125|CVE-2016-7515|2174484dfa68a594e2f9ad17f46217b6120db18d|100|2015-10-05 22:11:31+02:00|2016-01-13 18:31:21-05:00
9|ImageMagick|6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d|https://github.com/ImageMagick/ImageMagick/commit/6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d|CWE-125|CVE-2016-7514|533ea3b9047c67f9af49703de672f6c2e443f747|29|2016-01-15 01:13:19+01:00|2016-02-12 20:59:16-05:00
3|ImageMagick|280215b9936d145dd5ee91403738ccce1333cab1|https://github.com/ImageMagick/ImageMagick/commit/280215b9936d145dd5ee91403738ccce1333cab1|CWE-125|CVE-2016-7514|c6e0187105ab20b12bbc661f01b54e4894e92a5b|41|2016-01-16 00:08:11+01:00|2016-02-26 09:55:24+01:00
20|ImageMagick|c4e63ad30bc42da691f2b5f82a24516dd6b4dc70|https://github.com/ImageMagick/ImageMagick/commit/c4e63ad30bc42da691f2b5f82a24516dd6b4dc70|CWE-369|CVE-2016-7530|92ea28bd83a2eb14daced56f986823c7cad1077d|17|2016-01-30 09:37:10-05:00|2016-02-17 08:34:19-05:00
